Feature 1,Feature 2,Interaction Score
Sprint,RECENCY 23-29,0.0061593316
Presser Profile,RECENCY 8-15,0.0061438847
Outside Barrier,RECENCY 30-37,0.006095584
Routes,Early Presser Profile,0.006059987
Inside Barrier,2nd Up,0.0060081603
Presser Profile,1st Up,0.0060042385
Middle,Lost 2 Length Last Furlong,0.005988017
Middle,UP CLASS,0.005946309
Middle Barrier,Early Presser Profile,0.0059407367
RECENCY 30-37,Last Race Shorter Distance,0.005914387
Capable Distance,RECENCY 8-15,0.005824629
Proven Class,Lost 2 Length Last Furlong,0.005779758
3rd Up,Capable Surface,0.005737783
Capable Class,Lost 2 Length Last Furlong,0.005716378
Early Profile,Last Race Longer Distance,0.00570642
UP CLASS,Last Race Longer Distance,0.00570452
Sprint,RECENCY 8-15,0.0056948196
Middle,Presser Profile,0.00561566
Presser Profile,RECENCY 38-45,0.0056142793
Capable Distance,Lost 2 Length Last Furlong,0.0056040804
4th Up,DOWN CLASS,0.0055329776
2nd Up,Proven Distance,0.005518267
3rd Up,Last Race Longer Distance,0.005513574
1st Up,Capable Class,0.005442943
Presser Profile,UP CLASS,0.0054389914
Early Presser Profile,RECENCY 30-37,0.0053330725
Inside Barrier,RECENCY 38-45,0.0053319265
Routes,Capable Surface,0.005313726
2nd Up,Lost 2 Length Last Furlong,0.005288007
Early Presser Profile,2nd Up,0.0052480986
Early Presser Profile,RECENCY 8-15,0.0052432884
3rd Up,RECENCY 8-15,0.0052280976
Early Profile,Presser Profile,0.0051827785
Proven Class,DOWN CLASS,0.005169821
Outside Barrier,RECENCY 46-50,0.0051640933
RECENCY 16-22,Lost 2 Length Last Furlong,0.005161249
Middle,Capable Distance,0.005156782
Sustain Profile,RECENCY 30-37,0.0051548956
Sprint,1st Up,0.0051462413
1st Up,RECENCY 38-45,0.005109943
RECENCY 16-22,DOWN CLASS,0.0050997413
Routes,Capable Distance,0.0050915056
Proven Surface,RECENCY 38-45,0.005048301
Early Presser Profile,Last Race Longer Distance,0.0050464408
Proven Distance,RECENCY 1-7,0.0049993168
Proven Class,RECENCY 8-15,0.0049808808
Sustain Profile,DOWN CLASS,0.0049804472
RECENCY 23-29,Lost 2 Length Last Furlong,0.004969331
3rd Up,UP CLASS,0.004969002
RECENCY 23-29,Last Race Longer Distance,0.0049022324
Sustain Profile,RECENCY 46-50,0.0048988685
Body weight Optimal,RECENCY 38-45,0.004774351
Sprint,Middle,0.004751305
Middle,4th Up,0.0047294977
Proven Distance,Lost 2 Length Last Furlong,0.00472364
Routes,Proven Distance,0.004705548
Inside Barrier,UP CLASS,0.004696022
RECENCY 16-22,UP CLASS,0.004633022
Sustain Profile,2nd Up,0.004599208
Body weight Optimal,UP CLASS,0.0045631756
Routes,Proven Class,0.0044614146
RECENCY 8-15,DOWN CLASS,0.0044185156
Middle Barrier,UP CLASS,0.0042866487
Early Profile,RECENCY 38-45,0.0042445245
3rd Up,Lost 2 Length Last Furlong,0.0042331396
Capable Surface,RECENCY 38-45,0.0042239274
Proven Class,RECENCY 38-45,0.004221962
Routes,RECENCY 38-45,0.004210098
Presser Profile,4th Up,0.0042090965
Early Profile,1st Up,0.0041694883
RECENCY 16-22,RECENCY 23-29,0.0041017355
Routes,Sustain Profile,0.0040519726
4th Up,Lost 2 Length Last Furlong,0.0040493654
Early Presser Profile,3rd Up,0.004036776
Middle,RECENCY 38-45,0.0040133093
Sprint,UP CLASS,0.0040036393
Capable Class,RECENCY 30-37,0.003992508
4th Up,RECENCY 30-37,0.0039572525
Routes,Last Race Shorter Distance,0.003947948
2nd Up,DOWN CLASS,0.00394479
1st Up,Lost 2 Length Last Furlong,0.0039219027
Early Presser Profile,4th Up,0.0039216946
Routes,Last Race Longer Distance,0.003884943
RECENCY 38-45,Last Race Shorter Distance,0.0038769946
Routes,RECENCY 8-15,0.0038766079
Early Profile,DOWN CLASS,0.0038270538
Body weight Optimal,RECENCY 46-50,0.003678777
DOWN CLASS,Lost 2 Length Last Furlong,0.003633717
Sprint,RECENCY 30-37,0.003573695
RECENCY 23-29,UP CLASS,0.0035536364
RECENCY 23-29,DOWN CLASS,0.0035504126
Capable Distance,RECENCY 30-37,0.0035047547
Proven Distance,RECENCY 38-45,0.0034765326
RECENCY 38-45,DOWN CLASS,0.003377747
Early Presser Profile,RECENCY 23-29,0.003321277
Proven Distance,RECENCY 46-50,0.003319947
RECENCY 30-37,DOWN CLASS,0.0032973727
Proven Distance,UP CLASS,0.0032906584
4th Up,UP CLASS,0.0032861389
Early Presser Profile,RECENCY 38-45,0.0032279098
Routes,3rd Up,0.0031653529
Middle,DOWN CLASS,0.0031443797
Routes,Inside Barrier,0.0031408616
RECENCY 38-45,Lost 2 Length Last Furlong,0.0031367731
Inside Barrier,DOWN CLASS,0.003077678
Presser Profile,DOWN CLASS,0.003059478
Routes,Capable Class,0.0030450365
1st Up,RECENCY 16-22,0.0030358902
Proven Class,UP CLASS,0.0030349595
Capable Surface,RECENCY 46-50,0.0030193797
UP CLASS,Lost 2 Length Last Furlong,0.00301301
Sprint,RECENCY 38-45,0.0029567452
UP CLASS,Last Race Shorter Distance,0.0029512844
Outside Barrier,RECENCY 1-7,0.0029157521
Middle Barrier,DOWN CLASS,0.0028860995
Routes,Outside Barrier,0.0028791016
Last Race Longer Distance,Last Race Shorter Distance,0.002870107
Proven Class,RECENCY 1-7,0.0028514958
Proven Surface,DOWN CLASS,0.002803568
RECENCY 30-37,Lost 2 Length Last Furlong,0.002749536
Routes,UP CLASS,0.0026493692
RECENCY 1-7,Last Race Longer Distance,0.0026304135
RECENCY 8-15,UP CLASS,0.0026231168
Sprint,DOWN CLASS,0.0025744808
RECENCY 46-50,DOWN CLASS,0.0025708857
Inside Barrier,RECENCY 30-37,0.002520225
1st Up,RECENCY 23-29,0.002397162
2nd Up,RECENCY 1-7,0.0023559039
RECENCY 46-50,Lost 2 Length Last Furlong,0.0023342334
2nd Up,3rd Up,0.002287756
RECENCY 8-15,RECENCY 23-29,0.0022802942
RECENCY 1-7,Last Race Shorter Distance,0.002277444
RECENCY 38-45,Last Race Longer Distance,0.002218642
Middle,RECENCY 46-50,0.0022001087
RECENCY 30-37,UP CLASS,0.0021737593
Routes,Lost 2 Length Last Furlong,0.0021583228
Inside Barrier,RECENCY 1-7,0.0020446202
Routes,RECENCY 30-37,0.0020419045
Sustain Profile,RECENCY 1-7,0.0019768458
Capable Surface,UP CLASS,0.0019410329
3rd Up,RECENCY 30-37,0.0019151114
Capable Distance,UP CLASS,0.0019126078
RECENCY 30-37,Last Race Longer Distance,0.0019022455
Capable Distance,RECENCY 46-50,0.001889259
Routes,2nd Up,0.0018163205
Early Presser Profile,UP CLASS,0.0017948352
3rd Up,RECENCY 1-7,0.0017649552
2nd Up,4th Up,0.0017299909
3rd Up,DOWN CLASS,0.0016789046
Sprint,RECENCY 1-7,0.0016163945
Early Presser Profile,DOWN CLASS,0.0016025138
Middle Barrier,RECENCY 46-50,0.0015697449
Proven Surface,RECENCY 1-7,0.0015399122
Middle Barrier,RECENCY 38-45,0.0015198818
Presser Profile,RECENCY 1-7,0.001493989
1st Up,4th Up,0.0014244217
RECENCY 1-7,Lost 2 Length Last Furlong,0.0012651617
4th Up,RECENCY 38-45,0.0012545534
1st Up,3rd Up,0.001252873
RECENCY 8-15,RECENCY 16-22,0.0012148548
Capable Distance,RECENCY 1-7,0.0012148309
Early Presser Profile,Presser Profile,0.0011836671
Capable Surface,RECENCY 1-7,0.0011105215
2nd Up,RECENCY 38-45,0.0010943623
Capable Class,RECENCY 1-7,0.0010627012
RECENCY 16-22,RECENCY 30-37,0.0010491724
Sprint,RECENCY 46-50,0.0010478066
Middle,RECENCY 1-7,0.0010449985
1st Up,UP CLASS,0.0010001821
RECENCY 23-29,RECENCY 30-37,0.00096437155
1st Up,2nd Up,0.0009451291
4th Up,RECENCY 1-7,0.0009421138
RECENCY 38-45,UP CLASS,0.0009403518
Proven Class,RECENCY 46-50,0.0009336414
Proven Surface,RECENCY 46-50,0.00087451935
1st Up,RECENCY 46-50,0.0008702733
Body weight Optimal,RECENCY 1-7,0.000866107
Early Presser Profile,RECENCY 1-7,0.00084201153
Routes,DOWN CLASS,0.0007848057
1st Up,RECENCY 8-15,0.00078192714
3rd Up,4th Up,0.00071767165
Early Profile,RECENCY 46-50,0.0006447785
Presser Profile,RECENCY 46-50,0.000635302
Early Profile,RECENCY 1-7,0.0006352459
Routes,RECENCY 1-7,0.0006348488
3rd Up,RECENCY 38-45,0.00062781316
RECENCY 8-15,RECENCY 30-37,0.0005828788
RECENCY 46-50,Last Race Longer Distance,0.000537871
1st Up,RECENCY 30-37,0.0005211384
RECENCY 23-29,RECENCY 38-45,0.00051170593
Sprint,Routes,0.0004921876
RECENCY 30-37,RECENCY 38-45,0.00043526807
Capable Class,RECENCY 46-50,0.00040933344
RECENCY 8-15,RECENCY 38-45,0.00033461375
RECENCY 16-22,RECENCY 38-45,0.00032471342
RECENCY 1-7,UP CLASS,0.00029424886
2nd Up,RECENCY 46-50,0.00028096646
RECENCY 46-50,Last Race Shorter Distance,0.00026806095
UP CLASS,DOWN CLASS,0.0002617166
RECENCY 1-7,RECENCY 23-29,0.0002551262
RECENCY 1-7,RECENCY 16-22,0.00023793142
RECENCY 1-7,RECENCY 8-15,0.00020828725
RECENCY 23-29,RECENCY 46-50,0.00019492177
RECENCY 1-7,DOWN CLASS,0.00018892121
1st Up,RECENCY 1-7,0.00018340732
Inside Barrier,RECENCY 46-50,0.0001581956
4th Up,RECENCY 46-50,0.00015713918
RECENCY 8-15,RECENCY 46-50,0.00014323732
Routes,RECENCY 46-50,0.00014280775
RECENCY 16-22,RECENCY 46-50,0.00014119365
3rd Up,RECENCY 46-50,0.00013890557
RECENCY 1-7,RECENCY 30-37,0.00012894618
Early Presser Profile,RECENCY 46-50,0.00010924602
RECENCY 46-50,UP CLASS,9.697392e-05
RECENCY 30-37,RECENCY 46-50,6.8203786e-05
RECENCY 1-7,RECENCY 38-45,6.3360116e-05
RECENCY 38-45,RECENCY 46-50,5.6167446e-05
RECENCY 1-7,RECENCY 46-50,8.62263e-06
RECENCY 30-37,Conditioning run last start,0.0
Sprint,Body weight doubt,0.0
RECENCY 38-45,Conditioning run last start,0.0
RECENCY 46-50,Conditioning run last start,0.0
4th Up,Conditioning run last start,0.0
3rd Up,Conditioning run last start,0.0
Routes,Conditioning run last start,0.0
2nd Up,Conditioning run last start,0.0
Routes,Body weight doubt,0.0
UP CLASS,Conditioning run last start,0.0
Body weight doubt,Proven Distance,0.0
Body weight doubt,Capable Class,0.0
Capable Distance,Conditioning run last start,0.0
Capable Class,Conditioning run last start,0.0
Presser Profile,Conditioning run last start,0.0
Sustain Profile,Body weight doubt,0.0
Inside Barrier,Conditioning run last start,0.0
Inside Barrier,Body weight doubt,0.0
Sustain Profile,Conditioning run last start,0.0
Body weight Optimal,Body weight doubt,0.0
Body weight doubt,Capable Distance,0.0
Body weight doubt,Conditioning run last start,0.0
Body weight doubt,DOWN CLASS,0.0
Body weight doubt,UP CLASS,0.0
Body weight doubt,RECENCY 46-50,0.0
Body weight doubt,RECENCY 38-45,0.0
Body weight doubt,Last Race Longer Distance,0.0
Body weight doubt,Last Race Shorter Distance,0.0
Proven Distance,Conditioning run last start,0.0
Middle,Conditioning run last start,0.0
Body weight Optimal,Conditioning run last start,0.0
Body weight doubt,1st Up,0.0
Body weight doubt,2nd Up,0.0
Body weight doubt,3rd Up,0.0
Body weight doubt,4th Up,0.0
Body weight doubt,Proven Class,0.0
Body weight doubt,RECENCY 16-22,0.0
Body weight doubt,RECENCY 8-15,0.0
Proven Class,Conditioning run last start,0.0
1st Up,Conditioning run last start,0.0
Body weight doubt,RECENCY 30-37,0.0
Body weight doubt,RECENCY 23-29,0.0
Body weight doubt,Lost 2 Length Last Furlong,0.0
Body weight doubt,Proven Surface,0.0
Body weight doubt,Capable Surface,0.0
Body weight doubt,RECENCY 1-7,0.0
Middle,Routes,0.0
Proven Surface,Conditioning run last start,0.0
Middle,Body weight doubt,0.0
Capable Surface,Conditioning run last start,0.0
RECENCY 1-7,Conditioning run last start,0.0
Middle Barrier,Conditioning run last start,0.0
Early Presser Profile,Conditioning run last start,0.0
RECENCY 8-15,Conditioning run last start,0.0
Presser Profile,Body weight doubt,0.0
Middle Barrier,Body weight doubt,0.0
